Company,Rating,Reviews,Hours,Phone,Address,Website
Courses offered: Data Science | Python | ML | Analytics | HR Analytics | Finance Analytics | Pharma Data Analytics,4.7,362 reviews,9 am–5 pm,083103 23846,"Ground Floor (-1), Swamy Tower Landmark: E-ZONE Club, next to Kalamandir, Chinnapanna Halli, Bengaluru, Karnataka 560037",#
"ExcelR - Data Science, Data Analytics Course Training in Bangalore",Not available,Not available,Closes soon ⋅ 11 pm ⋅ Opens 7 am Tue,096321 56744,"49, 1st Cross, 27th Main, behind Tata Motors, 1st Stage, BTM Layout, Bengaluru, Karnataka 560068",https://www.excelr.com/data-science-course-training-in-bangalore?utm_source=SEO&utm_medium=GoogleLocal&utm_campaign=GMB_BLR&utm_location=Bangalore
"DataTrained - Data Analytics, Data Science Online Training",3.7,171 reviews,Closed ⋅ Opens 9 am Tue,095600 84091,"1st phase, No. 7F, 3rd floor, SNN Raj Pinnacle Plot, 6th Cross Rd, behind Teleradiology Solutions, Doddanakundi Industrial Area 2, Bengaluru, Karnataka 560058",https://www.datatrained.com/data-science-program
DataMites Kundalahalli - Data Analytics Courses in Bangalore,4.9,47 reviews,Closes soon ⋅ 11 pm ⋅ Opens 9 am Tue,063667 64711,"IndiQube Omega, Ground Floor, Sy No.7/2 Old, 78 New Brookefield Maruthi Emerald, ITPL Main Rd, Bengaluru, Karnataka 560066",https://datamites.com/data-science-course-training-bangalore/?utm_source=GMpas_Blr_itpl
"DataMites - Data Science, Data Analyst & AI Courses in Bangalore",4.7,"1,246 reviews",Closes soon ⋅ 11:30 pm ⋅ Opens 7 am Tue,1800 313 3434,"Bajrang House, 7th Mile, C-25, Bengaluru - Chennai Hwy, Kudlu Gate, Garvebhavi Palya, Bengaluru, Karnataka 560068",https://datamites.com/data-science-course-training-bangalore/?utm_source=GMaps_Ban
Dhibrahm Analytics - Data Analyst Course in Bangalore,5.0,57 reviews,Closed ⋅ Opens 10 am Tue,099860 77007,"28, Marathahalli Main Rd, HAL Central Township, Jawahar Nagar, Marathahalli, Bengaluru, Karnataka 560037",http://dhibrahm.com/
"AnalytixLabs - Data Science, Analytics & AI Courses in Bangalore",Not available,Not available,Closed ⋅ Opens 9:30 am Tue,095552 19007,"Backgate, BDA Complex, Bldg 51/2, 1st floor, 12th Main Rd, opp. A2B, Sector 6, HSR Layout, Bengaluru, Karnataka 560102",https://www.analytixlabs.co.in/?utm_source=google&utm_medium=organic&utm_campaign=GMB-Bangalore
"Learnbay - Data Science, Data Analyst Course Training in Bangalore",Not available,Not available,Closed ⋅ Opens 10 am Tue,077956 87988,"1090 1st floor, 18th Cross Rd, above Sangam Sweets, Sector 3, HSR Layout, Bengaluru, Karnataka 560102",https://www.learnbay.co/datascience/bangalore/data-science-course-training-in-bangalore
"Imarticus Bangalore Koramangala - Data Science, Analytics & Investment Banking Training Institute",Not available,Not available,Closed ⋅ Opens 10 am Tue,099539 81060,"Imarticus Learning, 421, 2nd & 3rd Floor, opposite Koramangala Indoor Stadium, 6th Block, Koramangala, Bengaluru, Karnataka 560095",https://imarticus.org/bangalore/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing
RIA Data Analytics | MIS | Advanced Excel | VBA | Data Analytics | Tableau Training | Marathahalli | Bangalore,4.9,41 reviews,Closed ⋅ Opens 8 am Tue,070191 07735,"2nd Floor, Bella Vista, 19, Complex, Outer Ring Rd, Aswath Nagar, Marathahalli, Bengaluru, Karnataka 560037",https://riadataanalytics.com/?utm_source=gmb&utm_medium=seo
Imarticus Learning Bangalore,Not available,Not available,Closed ⋅ Opens 9 am Tue,099539 61020,"Site No 20, Krishna Shine, 1st Floor Marathalli Ring Road Junction, above Udupi Viabhava Hotel, Marathahalli, Bengaluru, Karnataka 560037",https://imarticus.org/bangalore/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing
NI Analytics India| Tableau training | Data Analytics Training | Power BI Training | Azure Training| Full Stack Training.,4.5,146 reviews,Closed ⋅ Opens 8 am Tue,081230 71878,"No 1206, 3rd Floor, 26th Main Rd, Putlanpalya, 9th Block, Jayanagar, Bengaluru, Karnataka 560069",http://www.nianalyticsindia.com/
"Data analytics, Business analytics, Excel analytics,",Not available,Not available,Closed ⋅ Opens 8 am Tue,096328 34250,"534, Venkata Ranga Iyengar Rd, Malleshwaram, Bengaluru, Karnataka 560003",#
"360DigiTMG - Data Science, Data Scientist Course Training in Bangalore",Not available,Not available,Closes soon ⋅ 11 pm ⋅ Opens 7 am Tue,1800 212 654 321,"No 23, 2nd Floor, 9th Main Rd, 22nd Cross Rd, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102",https://360digitmg.com/india/bangalore/data-science-certification-course-training-institute/?utm_source=GMB_listing&utm_medium=organic&utm_campaign=hsr-2nd-floor
DataVal Analytics Inc,4.4,10 reviews,Closed ⋅ Opens 9 am Tue,085869 65402,"GoWorkZone, 74 second floor, Krishna Reddy Colony, Domlur, Bengaluru, Karnataka 560071",http://www.datavalanalytics.com/
Vtricks Technologies | Data Analytics | Data Science | Full Stack | DevOps course,Not available,Not available,Closed ⋅ Opens 9:30 am Tue,096207 49749,"maruthi mandir, Hosahalli Extension, Vijayanagar, Bengaluru, Karnataka 560040",http://vtricks.in/
"Imarticus Bangalore Koramangala - Data Science, Analytics & Investment Banking Training Institute",Not available,Not available,Closed ⋅ Opens 10 am Tue,099539 81060,"3rd Floor, &, Indoor Stadium, 421, 2nd Main Rd, opposite Koramangala, 6th Block, Koramangala, Bengaluru, Karnataka 560095",https://imarticus.org/bangalore/
Data Analytical System & Solutions,3.8,20 reviews,Closed ⋅ Opens 9:30 am Tue,080 2557 7797,"No: #42-46, 2nd floor, Nanjamma Complex G' Main Street, Jogupalya Rd, Halasuru, Karnataka 560008",http://dassnxt.com/
Analytics Training Institute from Redwood Algorithms,Not available,Not available,Closed ⋅ Opens 8:30 am Tue,1800 547 0050,"88 1st Floor, KK Center, Jyoti Nivas College Rd, 5th Block, Koramangala, Bengaluru, Karnataka 560095",#
DV Analytics Training Institute | Best Data Science Training Institute in Bangalore,Not available,Not available,Closed ⋅ Opens 10 am Tue,090190 30033,"#52, 2nd Floor, Maruthi Nagar, Malleshpalya, Bengaluru, Karnataka 560075",https://go.dvanalyticsmds.com/register-for-free-demo-class-2/?utm_source=GMB&utm_campaign=gmbwebsiteclicks
Analytics Training Center,Not available,Not available,Closed ⋅ Opens 9 am Tue,083103 17515,"1, Hosur Rd, above Ambica gold buyers, Rajiv Gandhi Nagar, Bommanahalli, Bengaluru, Karnataka 560068",#
Nikhil Analytics,4.3,211 reviews,Closed ⋅ Opens 9 am Tue,089713 36355,"Vaishnavi Signature, Bellandur WeWork Vaishnavi Signature. 78/9 Outer Ring Road, Bellandur Village, Varthur, Hobli, Bengaluru, Karnataka 560103",https://www.nikhilanalytics.com/
"ExcelR - Business Analyst, Full Stack Development, Tableau & Power BI Course Training",Not available,Not available,Closed ⋅ Opens 10 am Tue,073530 06061,"10, 3rd floor, Safeway Plaza, 27th Main Rd, Old Madiwala, Jay Bheema Nagar, 1st Stage, BTM 1st Stage, Bengaluru, Karnataka 560068",https://www.excelr.com/?utm_source=SEO&utm_medium=GoogleLocal&utm_campaign=GMB_BLR&utm_location=Bangalore
Wincer Academy of Data Analytics & BI,Not available,Not available,Closed ⋅ Opens 10 am Tue,080 4099 7637,"#543/1, 1st Floor, R.P Building, Opp to Hockey Stadium,, Langford Rd, Shanti Nagar, Bengaluru, Karnataka 560027",http://wincaat.com/academy/index.html
Data Analytics Company in USA & Bangalore | UXUI | ESG Audits & Compliance | Credit Score | 47Billion Inc,4.8,34 reviews,Closed ⋅ Opens 9 am Tue,0731 297 3109,"Hoysala Ace, B1602, 20th Main Road, 1, 20th Cross Rd, A Block, Sahakar Nagar, Bengaluru, Karnataka 560092",http://47billion.com/
ManagerData,1.0,11 reviews,Not available,095600 84091,"7F, 6th Cross Rd, Swimming Pool Extension, Yalappa Garden, Malleshwaram, Bengaluru, Karnataka 560003",https://www.datatrained.com/contact-us
Upshaala - Centre for Data Science / Analytics & GEN AI Research,4.8,22 reviews,Closed ⋅ Opens 10 am Tue,096060 24532,"Upshaala Education Services Pvt Ltd, Royal Space, 1537, 5th Main Rd, Rajiv Gandhi Nagar, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102",https://www.upshaala.com/
iTech Analytic Solutions,4.9,511 reviews,Closed ⋅ Opens 10 am Tue,090660 78793,"403, 19th H Main Rd, 1st Block, Rajajinagar, Bengaluru, Karnataka 560010",http://www.itechanalyticsolutions.com/
Institute,4.9,156 reviews,Closed ⋅ Opens 6 am Tue,086185 77300,"46, 2nd floor, 7th Cross Rd, above the children's & women's clinic, Mico Layout, BTM 2nd Stage, Bengaluru, Karnataka 560076",http://www.instituteofdatascience.in/
Complete Analytics,4.8,305 reviews,Closed ⋅ Opens 8:30 am Tue,098860 96090,"48/2, 1A Cross Rd, IInd Cross, Dollar Scheme Colony, 1st Stage, BTM Layout, Bengaluru, Karnataka 560068",#
Mammoth Analytics,4.9,17 reviews,Closed ⋅ Opens 9 am Tue,Not available,"596/2, 5th Cross Rd, above Key Education Foundation, 4th Block, Koramangala, Bengaluru, Karnataka 560034",http://mammoth.io/
Kushagramati Analytics Pvt Ltd,4.7,11 reviews,Closed ⋅ Opens 9:30 am Tue,091485 44466,"2nd floor, No 16, 17th cross, MC Road, above to Pizza Hut, near Maruthi Mandir, PF Layout, Vijayanagar, Bengaluru, Karnataka 560040",https://www.kmati.in/
360DigiTMG,Not available,Not available,Closed ⋅ Opens 9 am Tue,1800 212 654 321,"#62/1, Ground Floor, 1st Cross, 2nd Main Rd, Ganganagar, Bengaluru, Karnataka 560032",https://360digitmg.com/india/bangalore/data-analytics-certification-course-training-institute?utm_source=GMB_listing&utm_medium=organic&utm_campaign=ganganagar-bangalore
Impact Analytics,4.5,97 reviews,Closed ⋅ Opens 9 am Tue,066789 95128,"Block-C, Ground Floor, Global Technology Park, Outer Ring Rd, Bellandur, Bengaluru, Karnataka 560103",https://www.impactanalytics.co/
DataHI Analytics,Not available,Not available,Closed ⋅ Opens 9 am Tue,082775 59374,"Bannerghatta Rd, near Arekere Main Road, Omkar Nagar, Arekere, Bengaluru, Karnataka 560076",https://datahianalytics.com/
Germane Analytics Pvt Ltd,5.0,4 reviews,Closed ⋅ Opens 9 am Tue,080 4120 0565,"#90/1, Unit 'B', First Floor Rathnavilas Road,, Basavanagudi, Bengaluru, Karnataka 560004",http://www.germane-analytics.com/
Data Science | Power Bi | Tableau | SQL Training in Bangalore,Not available,Not available,8 am–8 pm,074110 11500,"B-1, 1st floor, Bannerghatta Slip Rd, KEB Colony, New Gurappana Palya, 1st Stage, BTM 1st Stage, Bengaluru, Karnataka 560029",https://datascience-training.in/data-science-training-institute-in-bangalore/
School of Data Science,4.0,1 review,Closed ⋅ Opens 6:30 am Tue,Not available,"2nd floor, 7th Cross Rd, opposite to Bangalore bites, Mico Layout, Stage 2, BTM Layout, Bengaluru, Karnataka 560076",https://www.schoolofdatascience.in/
"Ivy Professional School- Leading Data Science, Data Analytics, GenAI Course Training Institute",Not available,Not available,Closed ⋅ Opens 10 am Tue,076768 82222,"183, Double Road, 10th Main Rd, 2nd Stage, Stage 1, Indiranagar, Bengaluru, Karnataka 560038",https://ivyproschool.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=Bangalore
Skillslash - Data Science & Data Analytics Course Training in Bangalore,Not available,Not available,Closed ⋅ Opens 9 am Tue,083919 11911,"2nd Floor, Royal Heritage Building, Skillslash Private Limited, 264/255, above Polar Bear & Airtel Office, Sector 6, HSR Layout, Bengaluru, Karnataka 560102",https://skillslash.com/
Prwatech-DataScience & Data Analytics Course Training in Bangalore,Not available,Not available,Closed ⋅ Opens 9:30 am Tue,081471 11254,"773 16th main, 7th Cross Rd, above Justbake, near domino’s pizza, BTM 2nd Stage, Bengaluru, Karnataka 560076",https://prwatech.com/
"Creating Minds - Java, .Net, Data Analyst Training institute in Bangalore",5.0,33 reviews,Closed ⋅ Opens 10 am Tue,093807 36325,"2nd Floor, 7/A, 3rd Cross Rd, 3rd Stage, Basaveshwar Nagar, Bengaluru, Karnataka 560079",http://www.thecreatingminds.com/
"1stepGrow Academy - Bengaluru based institute training in Digital Marketing, Data Science and Analytics",Not available,Not available,9:30 am–6:30 pm,089512 40606,"2nd Floor, LPS Complex, 204, Haralur Main Rd, near Indian Oil Petrol Pump, above Canara Bank, Bengaluru, Karnataka 560102",https://1stepgrow.com/
Introtallent Data Science Training Institute in Bangalore,Not available,Not available,Closed ⋅ Opens 10 am Tue,084316 10064,"10, 12th corss, Chinmaya Mission Hospital Rd, Indira Nagar 1st Stage, Bengaluru, Karnataka 560038",https://www.introtallent.com/
Proziod Analytics Pvt Ltd,4.4,100 reviews,Closed ⋅ Opens 7:30 am Tue,080 4709 5559,"TOWER-B, 2202, Ardente Office One, 2nd Floor, ITPL Main Rd, Hoodi, Bengaluru, Karnataka 560048",https://proziod.com/
Gxcel Technologies | Excel | Power BI | MySQL | Python | Java,5.0,76 reviews,Closed ⋅ Opens 8 am Tue,093800 58115,"Grond Floor, 1461, S End A Cross Rd, KSRTC Layout, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078",https://gxceltechnologies.com/
Analyst Mind,Not available,Not available,Closed ⋅ Opens 9 am Tue,Not available,"House No. 166, 5th Cross, Sarjapur - Marathahalli Rd, C S B Layout, Kasavanahalli, Bengaluru, Karnataka 560035",Not available
Aegis School of Data Science,Not available,Not available,Closed ⋅ Opens 9:30 am Tue,090221 37010,"Block 1, Mahatma Gandhi Rd, Shivaji Nagar, Bengaluru, Karnataka 560001",https://www.aegis.edu.in/
MSB DATA ANALYTICS PVT LTD,4.0,2 reviews,Closed ⋅ Opens 9 am Tue,080 4090 9927,"VJJQ+VRH, AECS B Block, Wellington Paradise, Begur, Bengaluru, Karnataka 560068",#
AmberTAG Analytics Private Limited,4.3,52 reviews,Closed ⋅ Opens 9 am Tue,080 4200 5156,"305/66, 2nd Main Road, 40th Cross Rd, 8th Block, Jayanagar, Bengaluru, Karnataka 560070",http://www.ambertag.com/
DataZymes,4.9,12 reviews,Open 24 hours,02675 131 700,"Mahatma Gandhi Rd, Halasuru, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560025",http://www.datazymes.com/
Data Science Courses Training in Bangalore - Corpnce,5.0,3 reviews,Closed ⋅ Opens 10 am Tue,Not available,"Marathahalli Bridge, Bus Stand, 3rd, Marathahalli Main Rd, Aswath Nagar, Bengaluru, Karnataka 560037",http://www.corpnce.com/
Corprnce,Not available,Not available,Closed ⋅ Opens 10 am Tue,097396 04796,"191, 1st Floor, Chord Rd, West of Chord Road 2nd Stage, 2nd Stage, Rajajinagar, Bengaluru, Karnataka 560086",https://corpnce.com/
Data Analytics Training n Consulting,Not available,Not available,Not available,Not available,"Gopalan Grandeur, F - 307, Circle, Hoodi, Bengaluru, Karnataka 560048",Not available
EXcellenC - Data Analytics | Business Analytics | Data Science and Digital Marketing Course Training in Bangalore,5.0,6 reviews,Not available,091823 84041,"677, 13th Cross, 27th Main Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",https://excellenc.in/
Trendytech - Big Data Training by Sumit Sir,4.9,"1,772 reviews",Closed ⋅ Opens 10 am Tue,080 6834 0488,"302, Vaastu pleasant, Sai Baba Temple Rd, near ITPL Main Road, Green Garden Layout, Silver Springs Layout, Munnekollal, Bengaluru, Karnataka 560037",https://trendytech.in/?referrer=googlebiz
Fragma Data Systems,4.0,57 reviews,Closed ⋅ Opens 9 am Tue,545883336,"2nd Floor, 559, 9th A Main Rd, Binnamangala, Stage 1, Indiranagar, Bengaluru, Karnataka 560038",http://www.fragmadata.com/
Agora Analytics,Not available,Not available,Closed ⋅ Opens 9:30 am Tue,080 4097 1513,"1st Floor, High Profile Business Center,, 1/A, Church Street, Bengaluru, Karnataka 560001","http://www.agoranalytics.com/,%20http://www.careerscorp.com/"
Indium Software (India) Private Limited | Bengaluru,3.7,261 reviews,Closed ⋅ Opens 9:30 am Tue,1800 123 1191,"at Bagmane Tech Park, Embassy Prime, 502, 5th Floor, Southern Wing (B – Wing, Dr APJ Abdul Kalam Rd, C V Raman Nagar, Bengaluru, Karnataka 560093",https://www.indiumsoftware.com/
Discite Analytics & AI,5.0,10 reviews,Open 24 hours,080178 90156,"3rd floor, Discite Analytics & AI, The Estate Building, Dickenson Rd, Yellappa Garden, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560042",https://discite.ai/
Business Data Analyst real time training,Not available,Not available,Not available,Not available,"Mahadeshwara Nagar, BTM 2nd Stage, BTM Layout, Bengaluru, Karnataka 560076",Not available
Tibil Solutions | Data Engineering | Data Analytics | Data Science | AI Solution Provider,4.5,70 reviews,Closed ⋅ Opens 9 am Tue,078290 84245,"2nd floor, Swamy Legato, Sy. No. 20/7,Kadubeesanahalli, Bengaluru, Karnataka 560103",https://tibilsolutions.com/
Crossroad Elf DSS Pvt. Ltd | Data Analytics | Data Engineering | Decision Science Systems Company,4.6,17 reviews,Closed ⋅ Opens 9:30 am Tue,078997 57299,"102, 2nd/3rd Floor, 17th Cross Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102",http://www.crossroadelf.com/
Inflexion Analytics,5.0,4 reviews,Closed ⋅ Opens 9 am Tue,098847 01117,"1st Floor, Gopala Krishna Complex, 45/3, Residency Road, Mahatma Gandhi Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025",http://inflexionanalytics.com/
iTech Analytic Solutions,4.8,123 reviews,Not available,099020 58793,"#9, 1s floor, 8th main, 9th cross, SBM colony, Brindavan Nagar, Mathikere, Bengaluru, Karnataka 560054",http://www.itechanalyticsolutions.com/
Certisured,4.8,357 reviews,Closed ⋅ Opens 10 am Tue,096066 98866,"Bhashyam Circle, 59th cross, A Main Rd, 3rd Block, Bengaluru, Karnataka 560010",http://www.certisured.com/
BACentric Business Analyst Training in Bangalore,Not available,Not available,Closed ⋅ Opens 10 am Tue,079937 26693,"95, Export Promotion Industrial Park, opposite Vahedhi Hospital, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066",https://bacentric.com/
Business Analyst Training In Bangalore,5.0,67 reviews,Closed ⋅ Opens 9 am Tue,090198 47571,"Vaishno Spark, Priyanka Nagar, Seegehalli, Krishnarajapura, Bengaluru, Karnataka 560067",#
The XL Academy,4.9,92 reviews,Closed ⋅ Opens 10 am Tue,096504 28847,"2, Sona Tower, 8/1, 32nd E Cross Rd, opp sanjay gandhi hospital, 4th T Block East, Jayanagar, Bengaluru, Karnataka 560041",https://www.thexlacademy.com/
Empulse Global,4.1,63 reviews,Closed ⋅ Opens 9 am Tue,063643 96848,"#12/7, 2nd floor, Shamrao Compound, Sampangi Rama Nagara, Bengaluru, Karnataka 560027",http://empulseglobal.com/
"Q-Dat - Data Entry Services in Bangalore, India",4.5,159 reviews,Closed ⋅ Opens 9:30 am Tue,089040 90015,"109/7, 3rd Floor, 20th Main Road, 5th Block, West Of Chord Road, Rajajinagar, Bengaluru, Karnataka 560079",http://www.q-dat.com/
Innovaccer,4.6,16 reviews,Closed ⋅ Opens 10:30 am Tue,0510 327 8900,"62/63, Church St, 2nd Stage, Haridevpur, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",https://innovaccer.com/
Intellipaat,4.4,"7,179 reviews",Open 24 hours,070223 74614,"6th Floor, Primeco Towers, Arekere Gate, Junction, Bannerghatta Rd, Bengaluru, Karnataka 560076",https://intellipaat.com/
BuyMore AnalytiX Private Limited,4.6,10 reviews,Closed ⋅ Opens 9:30 am Tue,Not available,"Ground Floor, Left Wing ,106/A 4th C Cross, 20th Main Rd, Koramangala Industrial Layout, Koramangala, Bengaluru, Karnataka 560095",https://www.buymoreanalytix.com/
